MIN_ELAPSED,MIN_ENTRY,MAX_ENTRY,MOVE_MODE,MIN_MOVE,MIN_SIGMA,TIER_ENTRY,MIN_MOVE_HIGH,MIN_CONF,KELLY_FRAC,MAX_PER_WINDOW,MAX_SAME_DIR,trades,wins,losses,winrate,pf,pnl,gross_win,gross_loss,final,max_dd,avg_entry,exp_per_trade,score
0.75,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,122,103,19,0.8442622950819673,4.543019570464255,1682.9342959705223,2157.934295970521,-475.0,2182.9342959705223,0.1462841028088666,0.5456147540983607,0.5517817363837778,896.3505986723355
0.75,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,121,102,19,0.8429752066115702,4.49727436633243,1661.2053240079053,2136.2053240079044,-475.0,2161.2053240079053,0.1462841028088666,0.545702479338843,0.5491587847960018,883.4286382572955
0.65,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,223,174,49,0.7802690582959642,2.932028212896777,2366.734560798551,3591.7345607985517,-1225.0,2866.734560798551,0.2765582555587334,0.5517488789237669,0.4245263786185741,876.7737128303432
0.75,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,198,164,34,0.8282828282828283,3.700924024789223,2295.7854210708397,3145.7854210708397,-850.0,2795.7854210708397,0.3159338511589094,0.5795454545454546,0.4637950345597656,840.0096750711494
0.75,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,201,165,36,0.8208955223880597,3.523656079528767,2271.29047157589,3171.2904715758905,-900.0,2771.29047157589,0.3157444940558528,0.5773383084577115,0.451998103796197,823.9108810377754
0.65,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,232,172,60,0.7413793103448276,2.3160874595377026,1974.1311893065536,3474.131189306554,-1500.0,2474.1311893065536,0.20825911128023233,0.5576637931034484,0.3403674464321644,798.4456738729772
0.85,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,78,68,10,0.8717948717948718,5.733859267169846,1183.4648167924627,1433.4648167924615,-250.0,1683.4648167924627,0.07385334898932726,0.5459615384615385,0.6069050342525449,796.4550632633166
0.75,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,264,204,60,0.7727272727272727,2.616125023115029,2424.1875346725433,3924.1875346725433,-1500.0,2924.1875346725433,0.3410124740756154,0.5780416666666667,0.367301141617052,792.3842153995295
0.85,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,88,74,14,0.8409090909090909,4.568383542194292,1248.9342397680032,1598.9342397680023,-350.0,1748.9342397680032,0.08306632328927425,0.5381818181818182,0.5676973817127287,788.3115784542971
0.65,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,230,170,60,0.7391304347826086,2.28711549692088,1930.6732453813197,3430.67324538132,-1500.0,2430.6732453813197,0.20825911128023233,0.5578608695652175,0.33576926006631647,778.5002633636677
