2026-08-28T00:23:46.645958+00:00,SOL,UP,0.6,6.07,False,-6.07
2026-08-28T00:41:28.543894+00:00,SOL,DOWN,0.54,6.81,True,5.79
2026-08-28T01:12:33.448531+00:00,SOL,UP,0.52,7.97,False,-7.97
2026-08-28T01:33:46.431012+00:00,SOL,UP,0.5,6.9,False,-6.90
2026-08-28T02:27:09.823377+00:00,SOL,UP,0.528,6.63,False,-6.63
2026-08-28T09:28:51.659916+00:00,XRP,DOWN,0.61,4.68,True,2.98
2026-08-28T09:57:32.396847+00:00,XRP,UP,0.61,5.26,True,3.36
2026-08-28T12:49:03.040311+00:00,SOL,DOWN,0.59,6.14,True,4.27
2026-08-28T12:57:39.995903+00:00,SOL,DOWN,0.61,6.36,True,4.06
2026-08-28T13:58:48.997714+00:00,XRP,DOWN,0.53,6.48,True,5.75
2026-08-28T14:28:46.183771+00:00,ETH,DOWN,0.55,7.52,False,-7.52
2026-08-28T14:28:46.646557+00:00,BTC,DOWN,0.54,7.33,False,-7.33
2026-08-28T16:11:20.120355+00:00,XRP,UP,0.59,5.45,False,-5.45
2026-08-28T16:56:29.547414+00:00,SOL,UP,0.61,3.35,True,2.15
2026-08-28T17:08:54.324475+00:00,SOL,UP,0.51,6.27,True,6.02
2026-08-28T17:43:58.102127+00:00,XRP,UP,0.52,3.12,True,2.88
2026-08-28T21:41:16.633819+00:00,SOL,DOWN,0.6,4.05,True,2.71
2026-08-30T18:08:45.633477+00:00,BTC,DOWN,0.51,4.61,True,4.42
2026-08-30T23:33:45.814440+00:00,XRP,UP,0.54,1.06,True,0.90
2026-08-31T00:58:39.971517+00:00,BTC,DOWN,0.52,4.87,True,4.50
2026-08-31T01:56:55.855504+00:00,XRP,DOWN,0.51,5.1,True,4.89
2026-08-31T07:09:28.393980+00:00,SOL,UP,0.51,5.34,True,5.13
2026-08-31T07:11:17.134358+00:00,XRP,UP,0.51,5.34,True,5.13
2026-08-31T07:24:26.004067+00:00,XRP,UP,0.51,5.85,True,5.63
2026-08-31T07:26:15.932760+00:00,XRP,UP,0.51,5.85,True,5.63
2026-08-31T07:28:48.848286+00:00,ETH,DOWN,0.51,6.14,True,5.89
