timestamp,asset,window,market_id,elapsed,remaining_seconds,reference_price,current_price,move_pct,direction,entry_price,bid,ask,spread,confidence,required_move,entry_bucket,move_bucket,elapsed_bucket,risk_gate,signal_status,order_status,execution_quality,requested_shares,filled_shares,remaining_shares,average_fill_price,best_ask,slippage,hyp_cost,hyp_shares,resolution,hypothetical_pnl,realized_pnl,bankroll_at_signal,daily_pnl,exposure_at_signal,consecutive_losses,end
2026-08-30T16:43:12.205894+00:00,SOL,15m,3976263,0.88,108.3,106.53,106.64,0.103,UP,0.52,,0.52,,0.795,0.1,0.50–0.55,0.10–0.12%,85–90%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.86,,,,0.52,,4.61,8.86,WIN,4.25,,92.1,0.0,0,0,2026-08-30T16:45:00+00:00
2026-08-30T18:08:45.633477+00:00,BTC,5m,3978286,0.75,74.8,78983.8,78877.56,-0.135,DOWN,0.51,,0.5,,0.766,0.1,0.50–0.55,0.12–0.15%,75–80%,,EXECUTED,PAPER,GOOD,9.03,9.03,0.0,0.51,0.5,0.01,4.61,9.03,WIN,4.42,4.42,92.1,0.0,4.61,0,2026-08-30T18:10:00+00:00
2026-08-30T21:08:46.020829+00:00,SOL,5m,3984354,0.75,74.4,103.91499999999999,104.03,0.111,UP,0.55,,0.55,,0.759,0.1,0.50–0.55,0.10–0.12%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.14,,,,0.55,,4.48,8.14,WIN,3.66,,96.52,4.42,0,0,2026-08-30T21:10:00+00:00
2026-08-30T21:08:51.921063+00:00,XRP,5m,3984351,0.77,68.6,1.3904,1.3922,0.129,UP,0.58,,0.58,,0.77,0.12,0.55–0.60,0.12–0.15%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,7.54,,,,0.58,,4.37,7.54,WIN,3.17,,96.52,4.42,0,0,2026-08-30T21:10:00+00:00
2026-08-30T23:33:45.814440+00:00,XRP,5m,3986691,0.75,74.6,1.36165,1.3649,0.239,UP,0.54,,0.53,,0.797,0.1,0.50–0.55,0.20%+,75–80%,,EXECUTED,PAPER,MARGINAL,1.96,1.96,0.0,0.54,0.53,0.01,4.83,8.94,WIN,4.11,0.9,96.52,4.42,1.06,0,2026-08-30T23:35:00+00:00
2026-08-30T23:33:47.990945+00:00,BTC,5m,3986689,0.76,72.4,77655.82999999999,77757.69,0.131,UP,0.58,,0.58,,0.767,0.12,0.55–0.60,0.12–0.15%,75–80%,MAX_PER_WINDOW,BLOCKED_BY_RISK,,GOOD,7.41,,,,0.58,,4.3,7.41,WIN,3.11,,96.52,4.42,1.06,0,2026-08-30T23:35:00+00:00
2026-08-31T00:13:02.246624+00:00,ETH,15m,3987707,0.87,118.1,2415.525,2418.9,0.14,UP,0.5,,0.5,,0.803,0.1,0.50–0.55,0.12–0.15%,85–90%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,9.74,,,,0.5,,4.87,9.74,WIN,4.87,,97.42,0.0,0,0,2026-08-31T00:15:00+00:00
2026-08-31T00:58:20.737394+00:00,ETH,15m,3988097,0.89,99.6,2431.44,2427.55,-0.16,DOWN,0.5,,0.5,,0.815,0.1,0.50–0.55,0.15–0.20%,85–90%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,9.74,,,,0.5,,4.87,9.74,WIN,4.87,,97.42,0.0,0,0,2026-08-31T01:00:00+00:00
2026-08-31T00:58:39.971517+00:00,BTC,15m,3988085,0.91,80.3,77997.20000000001,77917.27,-0.102,DOWN,0.52,,0.51,,0.804,0.1,0.50–0.55,0.10–0.12%,90–95%,,EXECUTED,PAPER,GOOD,9.37,9.37,0.0,0.52,0.51,0.01,4.87,9.37,WIN,4.5,4.5,97.42,0.0,4.87,0,2026-08-31T01:00:00+00:00
2026-08-31T01:08:46.175384+00:00,XRP,5m,3988234,0.75,74.1,1.3592,1.3535,-0.419,DOWN,0.5,,0.5,,0.852,0.1,0.50–0.55,0.20%+,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,10.19,,,,0.5,,5.1,10.19,WIN,5.09,,101.92,4.5,0,0,2026-08-31T01:10:00+00:00
2026-08-31T01:24:09.702125+00:00,XRP,5m,3988282,0.83,50.6,1.3536,1.3516,-0.148,DOWN,0.52,,0.52,,0.794,0.1,0.50–0.55,0.12–0.15%,80–85%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,9.8,,,,0.52,,5.1,9.8,WIN,4.7,,101.92,4.5,0,0,2026-08-31T01:25:00+00:00
2026-08-31T01:28:08.139227+00:00,XRP,15m,3988269,0.88,112.2,1.35305,1.3513,-0.129,DOWN,0.61,,0.61,,0.801,0.12,0.60–0.62,0.12–0.15%,85–90%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.2,,,,0.61,,5.0,8.2,WIN,3.2,,101.92,4.5,0,0,2026-08-31T01:30:00+00:00
2026-08-31T01:53:57.390945+00:00,XRP,5m,3988583,0.79,62.9,1.348,1.3463,-0.126,DOWN,0.58,,0.58,,0.775,0.12,0.55–0.60,0.12–0.15%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,8.16,,,,0.58,,4.73,8.16,WIN,3.43,,101.92,4.5,0,0,2026-08-31T01:55:00+00:00
2026-08-31T01:56:55.855504+00:00,XRP,15m,3988568,0.8,184.5,1.3479,1.3459,-0.148,DOWN,0.51,,0.5,,0.783,0.1,0.50–0.55,0.12–0.15%,75–80%,,EXECUTED,PAPER,GOOD,9.99,9.99,0.0,0.51,0.5,0.01,5.1,9.99,WIN,4.89,4.89,101.92,4.5,5.1,0,2026-08-31T02:00:00+00:00
2026-08-31T02:59:13.491672+00:00,XRP,5m,3988951,0.84,46.7,1.3436,1.345,0.104,UP,0.51,,0.51,,0.785,0.1,0.50–0.55,0.10–0.12%,80–85%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,10.47,,,,0.51,,5.34,10.47,WIN,5.13,,106.81,9.39,0,0,2026-08-31T03:00:00+00:00
2026-08-31T06:56:28.229445+00:00,ETH,15m,3994029,0.76,212.2,2442.33,2439.79,-0.104,DOWN,0.5,,0.5,,0.76,0.1,0.50–0.55,0.10–0.12%,75–80%,NO_LIQUIDITY,BLOCKED_BY_RISK,,UNEXECUTABLE,10.68,,,,0.5,,5.34,10.68,WIN,5.34,,106.81,9.39,0,0,2026-08-31T07:00:00+00:00
